Id,BinCenters,BinCount_EYFP_MEFL,BinCount_mKate_MEFL,BinCount_EBFP2_MEFL
Dox 0.1,11220,6806,2198,1374
,14130,8017,2733,2705
,17780,8781,3325,2638
,22390,8556,4638,2622
,28180,7617,4621,3738
,35480,6344,5592,4714
,44670,3931,5936,5304
,56230,1817,6290,5431
,70790,511,5739,5800
,89130,124,4271,4682
,112200,21,3097,4012
,141300,4,2284,3469
,177800,4,2340,2917
,223900,2,2544,3200
,281800,2,2844,3612
,354800,1,3390,3985
,446700,2,3755,4032
,562300,1,4031,3985
,707900,0,4246,4135
,891300,0,4435,4177
,1122000,0,4501,4200
,1413000,0,4289,4095
,1778000,0,4007,3890
,2239000,0,3630,3817
,2818000,0,3244,3685
,3548000,0,2738,3509
,4467000,0,2203,3247
,5623000,0,1731,3031
,7079000,0,1406,2599
,8913000,0,989,2401
,11220000,0,769,1920
,14130000,0,493,1626
,17780000,0,391,1353
,22390000,0,214,995
,28180000,0,150,808
,35480000,0,101,634
,44670000,0,59,428
,56230000,0,39,272
,70790000,0,16,176
,89130000,0,10,122
,112200000,0,1,86
,141300000,0,1,50
,177800000,0,0,30
,223900000,0,0,12
,281800000,0,0,4
,354800000,0,0,1
,446700000,0,0,1
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 0.2,11220,5411,1804,1118
,14130,6642,2314,2112
,17780,7232,2718,2203
,22390,6993,3843,2132
,28180,6211,3862,3058
,35480,5331,4646,3846
,44670,3063,4891,4421
,56230,1465,5130,4451
,70790,484,4600,4614
,89130,102,3356,3701
,112200,9,2410,3186
,141300,5,1884,2640
,177800,4,1816,2394
,223900,0,2011,2538
,281800,1,2240,2874
,354800,1,2562,3115
,446700,1,2921,3229
,562300,1,3249,3331
,707900,0,3538,3274
,891300,0,3661,3287
,1122000,1,3551,3265
