Id,BinCount_EBFP2_MEFL,BinCount_EYFP_MEFL,BinCount_mKate_MEFL,GeoMean_EBFP2_MEFL,GeoMean_EYFP_MEFL,GeoMean_mKate_MEFL,GeoStdDev_EBFP2_MEFL,GeoStdDev_EYFP_MEFL,GeoStdDev_mKate_MEFL,GMM_Component1_Mean_EBFP2_MEFL,GMM_Component2_Mean_EBFP2_MEFL,GMM_Component1_Mean_EYFP_MEFL,GMM_Component2_Mean_EYFP_MEFL,GMM_Component1_Mean_mKate_MEFL,GMM_Component2_Mean_mKate_MEFL,GMM_Component1_Std_EBFP2_MEFL,GMM_Component2_Std_EBFP2_MEFL,GMM_Component1_Std_EYFP_MEFL,GMM_Component2_Std_EYFP_MEFL,GMM_Component1_Std_mKate_MEFL,GMM_Component2_Std_mKate_MEFL,GMM_Component1_Weight_EBFP2_MEFL,GMM_Component2_Weight_EBFP2_MEFL,GMM_Component1_Weight_EYFP_MEFL,GMM_Component2_Weight_EYFP_MEFL,GMM_Component1_Weight_mKate_MEFL,GMM_Component2_Weight_mKate_MEFL
Dox 0.1,52541,109291,119524,22170,249500,412000,1.601,6.765,8.112,17947.3362683252,17947.3362683252,41686.9383470336,981747.943019984,48083.9348449729,1210598.13355048,1.17262729784008,1.17262729784008,1.19756749597011,2.04691590227046,1.23029709912384,3.27642325685378,0.5,0.5,0.4195,0.5805,0.3215,0.6785
Dox 0.2,42957,88776,96130,22200,248800,409400,1.6,6.862,8.133,17988.7091512879,17988.7091512879,41304.7501990161,1009252.88607668,47424.1985260245,1213388.85046498,1.17192548866257,1.17192548866257,1.19486819160792,2.04173794466953,1.22106842167489,3.25536732471636,0.5,0.5,0.4235,0.5765,0.3223,0.6777
Dox 0.5,41068,85627,93331,22120,257600,427300,1.599,6.867,8.136,17906.0585403529,17906.0585403529,41209.751909733,1004615.79027839,48083.9348449729,1227439.23115841,1.17187152074203,1.17187152074203,1.19751234721868,2.06157908695264,1.23018378979159,3.28851630875983,0.5,0.5,0.4122,0.5878,0.3132,0.6868
Dox 1.0,35884,75012,81845,22050,258800,434900,1.603,6.915,8.226,17864.8757485205,17864.8757485205,41399.967481973,1023292.99228075,47533.5225942805,1256029.96369488,1.17135894943295,1.17135894943295,1.19698856072794,2.0549440413453,1.22520849688522,3.2839761925048,0.5,0.5,0.4136,0.5864,0.3101,0.6899
Dox 2.0,40228,83867,92109,22160,251000,432800,1.604,6.756,8.116,17906.0585403529,17906.0585403529,41686.9383470336,986279.48563121,47424.1985260245,1224616.19926505,1.1735997275116,1.1735997275116,1.19536352567372,2.02768271952128,1.22639395167575,3.26136945940879,0.5,0.5,0.4181,0.5819,0.3074,0.6926
Dox 5.0,47572,98159,108552,22550,248800,429800,1.643,6.803,8.281,18113.400926196,265460.556197554,41304.7501990161,988553.094656939,47206.3041263591,1264736.34747115,1.17839258212882,1.23754215089203,1.19690587854322,2.03798038628706,1.22224987072109,3.29609712177458,0.9979,0.00208,0.4196,0.5804,0.3155,0.6845
Dox 10.0,45160,92309,101004,22820,254800,427700,1.703,6.757,8.126,18030.1774085957,180717.412601093,41495.4042634363,984011.105761135,47097.7326396953,1210598.13355048,1.18053807877441,1.38995263121335,1.19798119256848,2.02208775840144,1.2184283627084,3.28624546658205,0.992,0.008019,0.4119,0.5881,0.3083,0.6917
Dox 20.0,49313,95832,105147,25400,257200,442100,1.992,6.769,8.307,18365.3834334835,98401.1105761135,41304.7501990161,1009252.88607668,47206.3041263591,1267651.86585784,1.18907705818097,1.77827941003892,1.19577646091624,1.97287695552572,1.21590599570883,3.35274095848416,0.9397,0.06033,0.4139,0.5861,0.3078,0.6922
Dox 50.0,45595,75231,82305,37920,242200,463800,3.058,6.458,8.418,18578.044550917,136458.313658892,41304.7501990161,918332.596483581,46881.3382145266,1273503.08101666,1.191516333218,1.97015320721676,1.19583152972531,1.92043671394335,1.22042192167403,3.50267626913813,0.7629,0.2371,0.4158,0.5842,0.2938,0.7062
Dox 100.0,52342,79636,88188,48930,232800,474200,3.689,6.17,8.43,18923.4361864498,172583.78919902,40926.0659730011,822242.649947071,47643.0986805416,1327394.45772974,1.19704368535755,2.05968117659736,1.19555621103835,1.90985325856624,1.22698710912328,3.42136966135368,0.6792,0.3208,0.4067,0.5933,0.2981,0.7019
Dox 200.0,64182,86937,96281,69270,210700,467500,4.508,5.868,8.254,19275.2491319094,230144.181740851,41783.0366646622,732824.533138904,48528.8500162121,1306170.88813184,1.19718150803838,2.182729911843,1.19715394223281,1.92043671394335,1.23128900107556,3.30597831070432,0.5791,0.4209,0.4201,0.5799,0.3001,0.6999
Dox 500.0,80451,94217,108139,109400,175200,570300,5.283,5.278,8.75,19543.394557754,316227.766016838,40271.7034325459,539510.622515128,49203.9535681451,1566751.07010815,1.20143422654464,2.17070096839771,1.19088547969925,1.9350847929379,1.22992888194808,3.42373387626452,0.4608,0.5392,0.4174,0.5826,0.281,0.719
Dox 1000.0,92313,95917,113064,159200,154500,674000,5.603,4.706,8.599,20464.4463672467,407380.277804113,40550.8535448383,402717.03432546,53210.8259266794,1725837.8919902,1.21149046392586,2.08593129583112,1.19302625137364,1.92486377778253,1.25765059321642,3.33733651305149,0.3769,0.6231,0.4017,0.5983,0.2601,0.7399
Dox 2000.0,102435,99685,119424,194800,141700,749400,5.579,4.39,8.448,22029.2646305346,485288.500162121,42169.6503428582,363915.036127207,54701.5962893972,1828100.21614274,1.23148747740937,1.91646106273539,1.20331685511764,1.84119590368765,1.26911214444519,3.2351915531421,0.3486,0.6514,0.4211,0.5789,0.2456,0.7544
