EYFP_MEFL,mKate_MEFL,EBFP2_MEFL
4949693.25,28222520.44,1156.15
22408.7,2859650.52,1156.15
38693.27,2229.52,27782.43
166510.84,404645.08,10386.53
2248.96,19290.39,19140.74
2248.96,38352.95,19134.92
20689.55,2363.92,10509.49
32620.8,17217.98,1156.15
275799.07,194886.94,1156.15
44533.63,34150.27,1156.15
2248.96,6622.89,9548.59
2602058.41,9240829.66,1156.15
2248.96,2229.52,1156.15
11025.27,995778.74,1156.15
66622.19,19216.65,21059.97
12682.41,2229.52,13388.36
2248.96,2229.52,1156.15
84721.28,2229.52,40257.29
16028.88,813377.2,58241.73
33244.8,258674.98,1156.15
2248.96,288360.86,1156.15
1786620.08,5170767.24,1156.15
2248.96,2198852.42,1156.15
2248.96,127388.16,1156.15
2248.96,2229.52,45055.29
2248.96,2229.52,1156.15
20163.61,445024.52,13253
60692.23,709776.26,4535.65
1218523.6,193790.72,33481.45
2248.96,27635.93,48885.87
18693,2229.52,4751.93
2227263.2,4767889.94,1156.15
3029871.03,5118524.06,33895.36
62438.4,50995.74,20090.65
51562.37,203518.61,17165.23
195850.76,523181.05,20905.93
56380.64,1465939.66,1156.15
44304.04,74393.44,1156.15
2248.96,328604.03,1156.15
5475371.27,11156719.05,31090.12
70279.63,783913.57,1156.15
1320651.78,2996004.08,1156.15
2248.96,8776.71,1156.15
2814755.2,4235638.97,5377.14
2248.96,29921.57,9541.47
230877.69,701146.42,1156.15
1397493.74,4609766.25,26374.04
78668.85,15050.07,1869.19
53241.67,961782.7,15973.85
66696.08,8711.15,1156.15
562799.06,59040.05,1156.15
2248.96,21485.08,1156.15
283560.6,3043627.83,6701.09
14689.18,2229.52,5711.53
765079.16,4949410.43,1156.15
2248.96,2594893.71,6838.25
36478.96,42630.65,1156.15
2248.96,1432045.72,16789.72
15005632.56,13479065.85,15986.24
2248.96,2229.52,1156.15
178108.11,127208.67,1156.15
2248.96,65964.38,1156.15
4684.34,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
572477.58,3274229.23,1156.15
4646.95,8774.22,1156.15
2951511.84,7630756.34,1156.15
1610362.09,6945872.03,1156.15
1783004,8256638.91,29097.75
24529.87,32052.55,1156.15
36672.3,8741.67,1156.15
469117.93,1393506.33,1156.15
2248.96,409089.9,1156.15
122522.93,46779.29,1156.15
54200.27,89039.07,41190.28
3350927.14,2519265.45,54841.5
18695.44,2229.52,1156.15
2248.96,2229.52,1156.15
475877.4,207343.85,12366.05
6719.34,697106.52,8377.93
2034580.74,11175157.15,4215.62
2248.96,2229.52,1156.15
4544431.71,52586554.35,54891.6
2248.96,8776.71,1156.15
196939.72,334758.36,1156.15
86166.1,101796.62,21994.33
1377969.09,8032574.28,20529.82
2248.96,2229.52,1156.15
1497215.14,1869022.4,1156.15
5715338.61,4526878.53,57106.66
7941.36,129373.99,30622.33
74105.41,108069.01,44063.27
6685.93,2229.52,1156.15
1647191.48,7507117.69,1156.15
2248.96,8776.71,1156.15
2248.96,1044508.87,1156.15
2248.96,154922.97,1156.15
156255.47,449174.39,1156.15
178218.41,809209.19,3545.66
1403537.77,43286.56,18173.81
38711.28,2229.52,1156.15
131507.05,927878.7,1156.15
2248.96,2229.52,1156.15
9006.19,2402165.57,1156.15
736011.73,3722865.72,52554.4
2682.76,2229.52,1156.15
30688.88,2229.52,24903.61
2801340.41,3428647,12341.03
981710.5,3816033.79,1156.15
2248.96,2229.52,2832.72
67138.81,281939.06,1156.15
6038377.48,2637332.07,38492.17
124417.94,410894.83,44930.32
40694.81,3507543.67,49741.41
1682614.43,947482.52,1156.15
304805.57,18941.84,28736.87
1382506.24,8642637.61,4030.1
216851.84,2229.52,1873.18
2669.94,2229.52,20105.59
2132352.16,2229.52,25863.87
2121751.23,457766.74,1156.15
