EYFP_ERF,mKate_ERF,EBFP2_ERF
434466.53,1152080.89,1521.65
2128747.15,4143165.50,1156.15
355986.63,874699.29,1156.15
317811.50,900154.67,1156.15
369707.69,925518.50,1156.15
345062.83,1033503.81,14992.33
446886.33,2132728.28,1156.15
932890.47,2197853.84,9838.42
317075.87,2079848.71,14672.50
379627.41,1641365.19,10968.12
248541.51,762551.87,1156.15
258464.86,777368.12,1156.15
248082.32,843038.23,1156.15
1010064.43,2354550.87,1156.15
1933180.63,3338505.52,1156.15
194679.99,730835.88,1156.15
2714408.25,1827542.23,1156.15
229970.39,855606.56,38077.17
669027.67,1785049.27,22439.43
158880.03,1743299.84,1156.15
140564.70,743599.21,1156.15
1174824.43,4347415.95,12060.20
1513796.52,2118891.52,10822.16
160234.32,800640.84,30417.15
106405.14,762546.13,36186.41
55342.44,595422.38,1156.15
95203.82,625027.38,2642.35
2248.96,459923.39,1156.15
73102.94,639883.32,1156.15
300401.46,794269.90,1156.15
176279.03,798632.15,1156.15
6547777.12,25619873.83,6517.67
409302.28,3107069.08,1156.15
261494.15,595140.28,18005.13
757394.51,1384741.13,1156.15
1728524.55,2372883.12,1156.15
206335.94,3950259.00,1156.15
2522105.31,1850922.85,27217.31
83672.48,540284.45,10345.07
2248.96,447215.48,1156.15
19473.44,915174.92,26543.73
10286.16,417332.30,52605.17
2248.96,506432.30,21870.65
2248.96,546764.37,1156.15
753309.89,2447880.45,29913.65
1269256.42,1479533.05,1156.15
2771847.53,11398688.39,58844.64
868507.77,2257264.60,1156.15
141912.19,504144.81,27628.97
54099.22,457579.77,41077.64
42360.53,764843.77,9316.83
684987.01,1446238.14,1156.15
36293.32,425997.79,1156.15
50637.09,366642.05,9438.55
1221891.72,659896.09,1156.15
453101.93,692448.29,1156.15
2248.96,432389.03,1156.15
2248.96,438743.23,1156.15
2248.96,417562.61,1156.15
57425974.71,59611507.07,9562.24
3718276.82,6549771.74,1156.15
2248.96,334934.71,6569.43
174144.74,4681019.05,1156.15
4607806.28,2194158.20,1156.15
34037.97,470479.11,1156.15
2248.96,373083.32,1156.15
2248.96,343430.45,1156.15
1125051.27,793412.24,5469.69
15511.80,911052.20,1156.15
2248.96,391901.68,58370.56
195994.02,2950342.96,48952.12
2248.96,396105.09,66046.09
172968.36,669153.51,66922.24
56840.87,332782.72,1156.15
2248.96,354020.76,1156.15
846584.67,486597.58,1156.15
493470.94,1334148.66,7223.61
16522.01,1084728.16,1542.23
35849.55,1205440.37,1156.15
4277082.17,18060726.19,13626.21
44935412.43,8875854.63,1156.15
21167.16,618658.54,23755.55
2248.96,1019052.30,10198.73
2248.96,123152.04,1156.15
662266.53,2621771.65,2032.03
362521.13,1480345.39,26370.98
2248.96,72318.56,1156.15
2248.96,70200.50,1156.15
11569698.61,4576241.36,1156.15
2248.96,2229.52,1156.15
24360.69,61705.42,1156.15
2248.96,93499.18,1156.15
22346.94,61630.83,19127.80
4330.33,63828.51,4733.09
781517.10,3470975.87,4651.27
70736.64,2229.52,1156.15
483466.08,7296423.10,15956.82
26701.78,2229.52,1156.15
2637032.89,1706876.83,4230.88
2248.96,2229.52,21065.19
2248.96,2229.52,1156.15
230464.06,69895.56,18165.67
2248.96,2229.52,1156.15
18695.44,2229.52,1156.15
2248.96,21485.08,1156.15
14985.04,650460.09,17988.22
23321.46,243858.71,1156.15
40566.63,25605.46,19138.81
32391.20,57461.15,1156.15
3365341.63,18593359.35,1156.15
267214.60,14328611.39,3251.73
14670.36,2229.52,33540.05
28484.71,40520.73,1156.15
286902.77,2229.52,8590.43
7685381.50,7602577.54,14903.63
2941738.37,3373263.42,52661.26
1458709.33,2303261.81,1156.15
15841.41,1554938.86,1156.15
2248.96,2229.52,1156.15
16844.39,1379139.79,1156.15
1109703.46,7694052.06,1156.15
2248.96,15130.90,1156.15
2248.96,2229.52,1156.15
2820645.09,2151495.89,1156.15
2248.96,2229.52,1156.15
2248.96,118915.92,1156.15
1077995.33,4481003.54,1156.15
87955.61,836618.94,54396.21
4206851.97,25808585.76,19894.42
55419.32,231117.80,1156.15
24448.62,747953.33,1156.15
2248.96,17248.96,1156.15
1362201.87,6939769.91,1156.15
44703.87,2229.52,19146.00
36672.30,8741.67,1156.15
1791323.91,2237118.02,34776.09
147595.29,211925.89,9485.84
14123.17,101958.76,1156.15
55334.73,245944.23,1156.15
674299.01,863785.48,1156.15
2248.96,19367.02,1156.15
10337.52,63837.72,1156.15
38581.02,23513.96,13381.84
2278861.35,35714518.33,22624.20
46534.08,34141.09,2822.96
92112.47,114587.78,1156.15
1113359.90,6346806.53,37358.33
36548.78,27711.25,22976.58
10689.10,2229.52,1156.15
3282947.59,11281872.37,12819.42
2248.96,2422.53,1156.15
4672.82,2229.52,18186.38
2248.96,2229.52,9549.94
24182.11,442922.80,8455.63
28062.72,110270.66,35426.18
679041.52,1079634.67,44725.91
20688.75,2229.52,13388.37
40712.87,2229.52,1156.15
2248.96,55326.05,12412.51
30600.15,19294.15,11463.92
473291.32,311178.91,1156.15
18514.24,31990.20,17217.66
8567.14,19218.44,34494.41
5456736.50,8111089.55,7071.38
1644976.52,3334562.32,1156.15
2456309.32,1107667.85,1156.15
2248.96,368847.18,1156.15
66792.02,1040050.89,36101.58
9630.57,1239324.17,8212.20
2248.96,2229.52,1156.15
2248.96,2229.52,3792.32
2248.96,2229.52,9549.94
40709.14,2229.52,6671.15
444453.02,101452.87,17196.42
300571.76,61376.63,12410.66
28167.05,1148245.61,4401.63
1072102.71,5163021.23,1156.15
2248.96,2229.52,1156.15
66337.11,67887.12,31600.72
136788.94,2229.52,1156.15
1510736.16,551582.01,1156.15
50350.15,65871.16,11449.68
50236.29,87095.71,1156.15
651721.18,609586.30,14162.30
3091523.55,4841136.02,1353.66
2248.96,8776.71,1156.15
2248.96,2229.52,32580.44
1730039.71,5615615.13,1156.15
192211.50,461846.13,1156.15
46518.50,34043.00,25853.45
110582.99,29676.37,41208.43
432507.84,90899.29,11442.03
53417.74,231119.83,1156.15
687541.09,647730.99,1156.15
2248.96,910916.68,37100.66
14662.57,2229.52,45055.29
4234255.86,10130796.15,15090.46
88556.42,36223.57,1156.15
156918.31,332669.76,3691.31
4684.34,2229.52,1156.15
3507667.76,6276757.88,1156.15
356572.33,69820.51,5690.86
3771583.45,1767162.30,1156.15
2248.96,55240.22,32564.19
94052.00,120777.48,39261.38
1321926.74,1362762.99,53275.79
24525.50,383648.76,1156.15
10277.10,74428.03,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,7630.74
355391.18,277409.97,1156.15
604316.06,851148.29,1156.15
2248.96,2035761.76,1156.15
262020.92,855732.38,1156.15
2248.96,38381.56,12417.69
9820.96,146157.05,68041.70
2248.96,2229.52,25863.21
2679.03,2229.52,6671.13
2248.96,2229.52,1156.15
2248.96,10789.53,25860.56
18506.20,29745.44,46966.02
1646053.21,12264144.29,24034.41
6569.85,17053.36,46010.30
937438.11,3153024.12,24900.11
14349.04,61692.10,6652.95
42944.21,661005.57,21823.40
199811.35,182255.89,1156.15
20691.34,2229.52,9549.95
2016605.43,1343121.17,23534.11
2188635.30,2416894.36,1156.15
535219.49,2086026.03,4114.99
2696260.44,10621701.90,1156.15
106868.40,334849.91,1156.15
1020024.18,3413496.99,16184.07
44566.15,27772.59,6663.32
24695.16,2229.52,8590.35
2248.96,21485.08,1156.15
18695.44,2229.52,1156.15
1979968.14,398549.26,14226.81
2248.96,2229.52,1156.15
184741.25,17063.36,1156.15
2248.96,2229.52,1156.15
2248.96,523465.70,1156.15
2248.96,2229.52,1156.15
8078392.97,15898552.86,18125.51
2248.96,2229.52,1156.15
2248.96,4513.01,7630.03
16686.88,2229.52,11469.16
2248.96,2229.52,4751.93
2248.96,19274.04,22979.16
6787216.89,7158768.60,1156.15
2248.96,17248.96,1156.15
48390.66,59555.80,2815.19
253440.20,254195.64,5634.51
671212.05,2229.52,1156.15
1269685.92,2229.52,1156.15
9261139.12,12074364.42,1156.15
11652366.90,64459682.73,1363.13
1353035.16,3284026.05,1156.15
20697.02,2229.52,1156.15
1501230.64,110977.10,15274.31
