EYFP_MEFL,mKate_MEFL,EBFP2_MEFL,FSC_Eum
1047720.95,1367501.68,1156.15,9.42
2248.96,339121.80,18083.38,9.06
2248.96,290478.91,1156.15,8.02
82370.40,68000.60,1156.15,9.63
319591.10,237196.27,2760.89,9.30
46431.32,48853.08,29687.33,8.17
1616747.02,1263037.71,24518.20,8.73
579728.03,2003392.21,1156.15,9.30
2248.96,55374.07,1156.15,7.42
2248.96,87144.99,1156.15,7.44
2248.96,93446.62,13360.46,9.89
23318613.46,20769459.52,3202.23,10.84
768262.32,6445086.59,417330.91,9.37
391848.58,2625150.04,267840.91,8.46
24433.20,48997.05,1156.15,9.04
28657.04,8693.62,14345.97,6.32
2248.96,521345.15,1156.15,9.15
2248.96,267180.24,1156.15,9.76
436882.62,1077893.63,14019.16,8.55
1368869.79,157769.01,1156.15,10.71
227502.89,591011.29,1156.15,8.38
1506036.16,1368930.08,53273.90,8.68
2248.96,46901.82,1156.15,9.88
5106444.18,7388356.93,203051.22,10.91
3237832.71,5859776.10,1156.15,9.50
2949641.72,14617983.65,48264.60,8.33
2248.96,42665.70,1156.15,8.17
199712.50,1251863.80,2450.75,6.78
1873881.03,400831.37,1156.15,7.76
22474.92,40495.17,8578.63,7.71
4676.07,2229.52,13388.36,7.50
2248.96,358256.87,1156.15,8.67
158543.82,46694.65,12415.15,7.97
355877.02,2629933.75,147889.12,9.61
200835.26,2229.52,7630.80,8.40
2248.96,2229.52,27782.42,7.86
2248.96,2229.52,1156.15,7.71
2248.96,23603.14,1156.15,9.36
2248.96,2229.52,1156.15,9.70
766423.93,501424.67,19952.98,10.57
2248.96,2229.52,1156.15,8.28
8687.51,2229.52,1156.15,8.73
93830.44,163265.41,9500.71,9.63
68727.43,2229.52,12428.78,9.63
60714.60,2229.52,22024.81,7.31
62725.27,2229.52,8590.36,9.03
24700.19,2229.52,1156.15,10.14
58294.77,76445.16,13365.66,8.86
52722.37,2229.52,1156.15,8.13
366438.32,95246.49,1156.15,8.87
2248.96,2229.52,1156.15,10.04
564027.26,194593.96,1156.15,9.37
20697.02,2229.52,1156.15,9.08
40712.87,2229.52,1156.15,6.93
49704.50,178095.73,19092.20,10.36
2248.96,2229.52,1156.15,9.40
184932.50,2088515.49,1156.15,9.32
2248.96,2229.52,1156.15,10.61
410952.18,362075.47,1156.15,9.42
2498481.71,29493.88,11460.80,9.54
8354952.87,27761278.90,58641.27,9.16
584776.90,390644.98,213826.56,9.16
2248.96,315895.64,1156.15,9.21
2248.96,8776.71,1156.15,8.30
2248.96,902598.75,1156.15,8.94
52655.78,12929.85,8587.06,6.94
208769.22,3172932.61,1156.15,7.52
553475.56,289916.91,1156.15,8.02
38432.21,51100.87,1156.15,7.75
2248.96,2229.52,1156.15,7.17
4679.31,2229.52,8590.34,7.42
311887.65,114017127.79,4342811.28,8.12
3267465.26,6626354.50,28636.46,9.15
18695.44,2229.52,1156.15,8.86
2248.96,2229.52,1156.15,8.40
2172352.88,355935.48,27674.27,8.17
18353.51,61696.20,4733.74,8.31
102258.60,440741.75,4617.88,9.13
2248.96,2229.52,1156.15,9.00
2248.96,2229.52,1156.15,9.38
20514.62,34174.69,1156.15,8.20
92305.42,1379678.21,850700.34,7.67
503738.05,237016.23,1156.15,9.76
1997132.04,3698215.61,68875.18,7.20
2248.96,10894.77,1156.15,7.95
2248.96,15130.90,1156.15,8.28
250879.26,2229.52,1156.15,9.93
2248.96,2229.52,1873.11,7.62
2248.96,61728.25,1156.15,10.30
2248.96,476799.90,17081.70,8.54
2248.96,6658.65,1156.15,6.99
1525225.32,2915012.92,70074.17,8.72
