Id,BinCenters,BinCount_EYFP_MEFL,BinCount_mKate_MEFL,BinCount_EBFP2_MEFL
Dox 0.1,11220,821,52,6815
,14130,2602,2699,6704
,17780,3334,2648,8039
,22390,4639,2641,9305
,28180,4652,3750,8426
,35480,5620,4718,6801
,44670,6028,5311,5124
,56230,6459,5453,2676
,70790,5524,5806,1002
,89130,4307,5106,270
,112200,3071,3829,41
,141300,2327,3265,8
,177800,2358,3047,2
,223900,2536,3196,3
,281800,2909,3670,1
,354800,3381,3960,3
,446700,3777,4055,0
,562300,4060,3994,3
,707900,4269,4141,0
,891300,4453,4204,0
,1122000,4492,4182,0
,1413000,4297,4105,0
,1778000,4011,3876,0
,2239000,3620,3838,0
,2818000,3230,3690,0
,3548000,2719,3497,0
,4467000,2183,3238,0
,5623000,1713,3048,0
,7079000,1392,2600,0
,8913000,992,2379,0
,11220000,754,1909,0
,14130000,492,1625,0
,17780000,387,1339,0
,22390000,208,978,0
,28180000,146,808,0
,35480000,100,629,0
,44670000,58,420,0
,56230000,39,267,0
,70790000,15,178,0
,89130000,10,119,0
,112200000,1,82,0
,141300000,1,48,0
,177800000,0,32,0
,223900000,0,11,0
,281800000,0,3,0
,354800000,0,1,0
,446700000,0,1,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 0.2,11220,637,43,5444
,14130,2189,2115,5485
,17780,2731,2207,6577
,22390,3852,2142,7685
,28180,3868,3084,6888
,35480,4668,3842,5639
,44670,4941,4423,4139
,56230,5277,4460,2103
,70790,4432,4618,889
,89130,3377,4044,239
,112200,2404,3023,27
,141300,1914,2484,7
,177800,1811,2515,6
,223900,2037,2517,1
,281800,2249,2921,1
,354800,2589,3084,1
,446700,2904,3271,0
,562300,3283,3302,2
,707900,3556,3291,0
,891300,3654,3297,0
,1122000,3595,3270,0
,1413000,3486,3291,1
,1778000,3302,3230,0
,2239000,3045,3138,0
,2818000,2576,3055,0
,3548000,2239,2820,0
,4467000,1782,2595,0
,5623000,1450,2364,0
,7079000,1058,2180,0
,8913000,837,1813,0
,11220000,623,1628,0
,14130000,426,1265,0
,17780000,313,1086,0
,22390000,199,767,0
,28180000,138,635,0
,35480000,84,476,0
,44670000,55,327,0
,56230000,28,216,0
,70790000,16,147,0
,89130000,5,111,0
,112200000,2,58,0
,141300000,1,35,0
,177800000,0,22,0
,223900000,0,16,0
,281800000,0,6,0
,354800000,0,1,0
,446700000,0,1,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 0.5,11220,659,35,5292
,14130,2062,2084,5235
,17780,2677,1999,6360
,22390,3527,2014,7228
,28180,3560,2791,6841
,35480,4354,3675,5163
,44670,4729,4028,3890
,56230,4909,4340,2045
,70790,4231,4323,808
,89130,3245,3736,205
,112200,2275,3077,35
,141300,1852,2499,7
,177800,1846,2466,4
,223900,2009,2463,1
,281800,2194,2903,3
,354800,2479,3050,2
,446700,2995,3144,0
,562300,3192,3155,1
,707900,3463,3253,0
,891300,3503,3279,0
,1122000,3511,3313,0
,1413000,3444,3120,0
,1778000,3205,3182,0
,2239000,2923,3105,0
,2818000,2599,2991,0
,3548000,2088,2756,0
,4467000,1800,2505,0
,5623000,1410,2389,0
,7079000,1133,2163,0
,8913000,847,1826,0
,11220000,597,1543,0
,14130000,402,1346,0
,17780000,311,1013,1
,22390000,191,819,0
,28180000,144,615,0
,35480000,66,485,0
,44670000,65,352,0
,56230000,31,224,0
,70790000,17,157,0
,89130000,8,98,0
,112200000,2,74,0
,141300000,1,46,0
,177800000,0,20,0
,223900000,0,10,0
,281800000,0,0,0
,354800000,0,0,0
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 1.0,11220,590,29,4723
,14130,1756,1798,4571
,17780,2300,1768,5606
,22390,3124,1719,6412
,28180,3210,2527,5761
,35480,3777,3155,4621
,44670,4091,3672,3369
,56230,4396,3658,1728
,70790,3631,3696,674
,89130,2799,3283,185
,112200,2064,2612,37
,141300,1616,2136,12
,177800,1582,2062,4
,223900,1582,2161,8
,281800,1871,2484,6
,354800,2190,2748,1
,446700,2606,2773,2
,562300,2931,2764,1
,707900,2965,2780,0
,891300,3130,2891,0
,1122000,3026,2768,0
